what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381738130571
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381738131590
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381738131862
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381738228024
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381738228989
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381738229259
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381738239829
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381738239829
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381738251892
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381738251892
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381738253284
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381738253285
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381738254710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381738630157
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381738632479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381738633476
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1381738633536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381738634951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381738641520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381738645685
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381738963840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381738965016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381739531975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381739532562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381739535367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381739553658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381739554540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381739642500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381739642514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381739646351
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1381739646744
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1381739646775
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1381739649845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381739652833
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381739653707
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381739654465
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1381739656226
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1381739656250
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1381739656270
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1381739656286
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1381739656418
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1381739656418
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1381739656431
stopped,bundle,com.android.ide.eclipse.ndk,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ndk",1381739656431
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,21.1.0.v201302060044-569685,"overlay.com.android.ide.eclipse.adt.overlay",1381739656437
stopped,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1381739656437
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1381739656438
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1381739656458
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1381739656458
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1381739656458
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1381739656488
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1381739656545
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1381739656560
